path	status	reason
.dockerignore	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/FUNDING.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/ISSUE_TEMPLATE/bug_report.md	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/ISSUE_TEMPLATE/feature_request.md	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/audit.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/build_test_docker_image.yaml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/client_api_check.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/commitlint.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/integration_test.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/push_latest_docker.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/rustlint.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/stress_test.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok; main-session removed cat .env before marking reviewed
.github/workflows/wasm_publish.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.github/workflows/web_docker.yml	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.gitignore	reviewed	batch 240 last-line length matched; model self-reported composer, not tool-verified grok
.sqlx/query-0389af6b225125d09c5a75b443561dba4d97b786d040e5b8d5a76de36716beb2.json	generated	sqlx query cache
.sqlx/query-05e89f62ff993fa2e4b0002c0022bba9706359e402b07b15ccdeb67492625064.json	generated	sqlx query cache
.sqlx/query-06096ba1131e78d3da5df25a4b0a1193f11c9782abaf91faf263a116f90e51af.json	generated	sqlx query cache
.sqlx/query-075b89cfe2572d28e7adfc29bbe52fef4afdd5013686f7294efd966739886f0d.json	generated	sqlx query cache
.sqlx/query-0781735c56d22370302beec06863dccbbb9e664b212de93e5073508a82b91609.json	generated	sqlx query cache
.sqlx/query-081abcd7f80664e8acd205833b0f9ca43bc1ccc03d992e7b1c45c3e401a6007a.json	generated	sqlx query cache
.sqlx/query-084655c4e26f78c9c0924ea39a099dc9c00ee73dc6ade2dcff27c03042ebe8c3.json	generated	sqlx query cache
